log-sigs-min,epoch,MinProgress,mean-sq-bellman-error1,time-total,return-average,qf1-std,episode-length-std,policy-mus-min,policy-mus-std,vf-std,log-pi-max,StdProgress,vf-avg,mean-sq-bellman-error2,episode-length-max,return-max,MaxProgress,total-samples,log-pi-mean,qf1-avg,time-eval,mean-qf-diff,max-path-return,policy-mus-max,pool-size,log-sigs-max,time-train,episodes,return-min,last-path-return,log-sigs-mean,return-std,log-pi-std,AverageProgress,qf2-avg,episode-length-min,time-sample,qf2-std,log-sigs-std,policy-mus-mean,episode-length-avg,log-pi-min
-1.92014,0,0.239120751334,3.24976,19.094322800985537,34.1717234683,0.29051,0.0,-2.05268,0.491867,0.305504,-5.17633,0.0,-0.00464001,3.57011,1000,34.1717234683,0.239120751334,1000,-10.3296,0.00791416,0,0.411419,25.38341940618347,1.44487,1000,1.95089,0.1368188330088742,2,34.1717234683,25.38341940618347,-0.105031,0.0,2.26178,0.239120751334,0.00791416,1000,1.3559612769749947,0.29051,0.381458,-0.271384,1000.0,-16.8356
-0.45333,1,4.46235655781,0.257515,47.80183584796032,267.364704289,10.5822,0.0,-0.583229,0.206869,10.4897,-6.81499,0.0,21.864,0.27763,1000,267.364704289,4.46235655781,2000,-9.83081,17.2598,0,0.389871,115.67779169536504,1.17051,2000,0.0740187,10.756808409292717,4,267.364704289,-29.061916954454198,-0.158538,0.0,1.82619,4.46235655781,17.2598,1000,1.258509854786098,10.5822,0.068922,0.106657,1000.0,-17.9045
-0.57482,2,1.05403241681,1.0947,78.71765502594644,91.9651661916,20.7797,0.0,-1.37046,0.496981,20.4316,-6.27046,0.0,47.2541,1.35559,1000,91.9651661916,1.05403241681,3000,-9.82959,41.4384,16.693575935962144,0.846138,115.67779169536504,1.72591,3000,0.100265,12.726841301540844,6,91.9651661916,54.02399352313462,-0.200367,0.0,2.06171,1.05403241681,41.4384,1000,1.5190760605037212,20.7797,0.0870991,0.160741,1000.0,-17.9958
-0.687589,3,1.23596529404,4.16417,90.68414267193293,59.7213111806,28.9377,0.0,-2.375,0.713541,27.9159,-5.53798,0.0,79.3056,4.63603,50,59.7213111806,1.23596529404,4000,-9.21133,72.3558,16.666448492964264,1.32674,261.3118997602525,1.8911,4000,0.062069,9.920891812886111,8,59.7213111806,43.59761154170295,-0.26828,0.0,2.00532,1.23596529404,72.3558,50,1.2142966910614632,28.9377,0.107367,0.150686,50.0,-16.7119
-0.732355,4,0.833947133381,4.42428,104.69678338535596,39.470062119,38.1832,0.0,-2.09289,0.855679,37.6973,-5.16412,0.0,109.223,4.63215,51,39.470062119,0.833947133381,5000,-8.78408,101.056,0.8450293290079571,1.96631,261.3118997602525,1.98052,5000,0.10199,11.753133718797471,9,39.470062119,-17.013202210475086,-0.312339,0.0,1.72796,0.833947133381,101.056,51,1.3962860176106915,38.1832,0.123022,0.0276757,51.0,-15.7148
-0.739435,5,0.450855906876,8.8639,116.46771454392001,20.8154071671,46.1375,0.0,-2.63286,0.983356,44.8993,-5.29773,0.0,145.535,9.26616,54,20.8154071671,0.450855906876,6000,-8.51244,134.217,0.8589513059705496,2.3847,261.3118997602525,2.23303,6000,0.0229809,9.650918328785338,12,20.8154071671,-8.682047938717112,-0.35701,0.0,1.85992,0.450855906876,134.217,54,1.2126850958447903,46.1375,0.116645,0.0163867,54.0,-15.4074
-0.826712,6,5.32332323845,10.028,136.54175827949075,253.400857452,53.0585,0.0,-2.81907,1.06694,51.5276,-4.35461,0.0,190.5,13.1615,571,253.400857452,5.32332323845,7000,-8.27249,177.413,0.9035847529885359,3.0947,261.3118997602525,2.62481,7000,-0.0149934,9.439562813611701,13,253.400857452,91.99490973368819,-0.393681,0.0,2.03422,5.32332323845,177.413,571,1.120287674071733,53.0585,0.116268,0.10764,571.0,-15.7554
-0.755608,7,0.946006389353,19.8819,167.6239054419566,56.1237288115,54.4127,0.0,-2.93632,1.1174,54.679,-3.8931,0.0,233.111,17.4723,1000,56.1237288115,0.946006389353,8000,-8.03313,221.301,9.515751776983961,4.19781,261.3118997602525,2.8331,8000,-0.013677,12.878621530195232,17,56.1237288115,-58.37738836506525,-0.406084,0.0,2.19371,0.946006389353,221.301,1000,1.5379417223739438,54.4127,0.114521,0.0114252,1000.0,-15.9044
-0.818336,8,4.22041771508,27.4881,198.12239420693368,223.004332146,59.6848,0.0,-2.7475,1.15036,60.4808,-3.82663,0.0,282.654,27.0843,1000,223.004332146,4.22041771508,9000,-7.72467,273.367,16.66679629898863,5.41981,261.3118997602525,3.16355,9000,-0.0863105,12.421033239807002,18,223.004332146,179.26274457690664,-0.434241,0.0,2.06877,4.22041771508,273.367,1000,1.4007813161006197,59.6848,0.114714,0.0444899,1000.0,-15.0331
-0.771846,9,2.23933487233,102.458,227.023210391053,61.0178905445,63.9814,0.0,-3.40388,1.14923,61.9046,-4.38693,0.0,311.825,103.321,1000,61.0178905445,2.23933487233,10000,-7.88679,299.068,16.67605240701232,5.77332,261.3118997602525,3.07762,10000,-0.0828436,10.92017812578706,19,61.0178905445,-18.77214673427622,-0.436806,0.0,2.08943,2.23933487233,299.068,1000,1.314110052306205,63.9814,0.106807,0.0189685,1000.0,-16.7586
