episodes,log-sigs-mean,episode-length-std,log-pi-max,FinalGoalDistanceMin,time-eval,return-min,qf1-std,FinalArmDistanceAvg,epoch,FinalGoalDistanceStd,policy-mus-std,vf-std,max-path-return,policy-mus-min,log-sigs-max,FinalArmDistanceStd,qf2-avg,time-train,last-path-return,log-sigs-std,FinalArmDistanceMin,time-sample,vf-avg,log-pi-mean,episode-length-avg,mean-qf-diff,mean-sq-bellman-error2,time-total,mean-sq-bellman-error1,FinalGoalDistanceMax,qf1-avg,return-max,FinalGoalDistanceAvg,return-std,qf2-std,log-pi-min,pool-size,policy-mus-mean,FinalArmDistanceMax,episode-length-max,policy-mus-max,total-samples,return-average,log-pi-std,episode-length-min,log-sigs-min
3,-0.144706,0.0,-2.40566,1.71724603302,0,-538.412201608,0.675146,1.04600875972,0,0.0,0.0392453,0.212085,[-1322.47231243],-0.164878,-0.0236018,0.0,-2.91006,3.046265552981822,[-1322.47231243],0.040152,1.04600875972,0.7926239930056909,1.28777,-3.7182,300.0,0.278864,0.230004,9.33332648398573,0.243833,1.71724603302,-2.91006,-538.412201608,1.71724603302,0.0,0.675146,-7.99132,1000,-0.0136991,1.04600875972,300,0.108459,1000,-538.412201608,0.955975,300,-0.294277
6,-0.143203,0.0,-2.34248,1.94730420887,0,-602.112562805,0.893487,0.491579578962,1,0.0,0.0384462,0.720694,[-1140.07284508],-0.167405,-0.00303492,0.0,-4.10944,4.088856647005741,[-1373.47986668],0.0307043,0.491579578962,0.8433351679905172,-0.199882,-4.04106,300.0,0.27765,0.143889,19.264103819981756,0.175194,1.94730420887,-4.10944,-602.112562805,1.94730420887,0.0,0.893487,-9.29483,2000,-0.015579,0.491579578962,300,0.11775,2000,-602.112562805,1.32045,300,-0.23637
10,-0.155613,0.0,-2.31035,1.82310800299,5.001230528000633,-572.559767645,2.70214,1.05072266724,2,0.0,0.0458645,2.75057,[-883.76469971],-0.108734,-0.0783293,0.0,-7.53663,4.096007978984744,[-1242.44235985],0.0270027,1.05072266724,0.8497078650170806,-4.72096,-3.97261,300.0,0.380342,0.10801,29.212468839984467,0.157979,1.82310800299,-7.53663,-572.559767645,1.82310800299,0.0,2.70214,-9.02206,3000,0.00202468,1.05072266724,300,0.129618,3000,-572.559767645,1.27578,300,-0.238874
13,-0.146213,0.0,-2.26921,0.129076885155,5.003473378999843,-83.3660205988,5.91901,1.2010869527,3,0.0,0.0617209,6.1375,[-883.76469971],-0.153145,-0.033957,0.0,-15.0753,4.111826558973007,[-1423.47119401],0.0251892,1.2010869527,0.8550098029991204,-12.7825,-3.90821,300.0,0.415941,0.176665,39.19642766295692,0.159352,0.129076885155,-15.0753,-83.3660205988,0.129076885155,0.0,5.91901,-9.25774,4000,-0.00337848,1.2010869527,300,0.116407,4000,-83.3660205988,1.31278,300,-0.217596
16,-0.130018,0.0,-2.34892,1.52144239485,5.012736738000058,-484.913378989,7.7043,1.30018997394,4,0.0,0.0746722,7.82632,[-883.76469971],-0.158019,-0.0504161,0.0,-23.6838,4.1084215530117945,[-1288.95245959],0.0264801,1.30018997394,0.8457419649812437,-21.2242,-3.89277,300.0,0.460151,0.121838,49.146906889948696,0.165541,1.52144239485,-23.6838,-484.913378989,1.52144239485,0.0,7.7043,-8.98261,5000,0.0103525,1.30018997394,300,0.15104,5000,-484.913378989,1.30429,300,-0.23727
20,-0.137271,0.0,-2.38101,1.60532760647,5.000228846000027,-504.663441922,11.1455,0.474070668803,5,0.0,0.0841159,11.2062,[-883.76469971],-0.238522,-0.0732055,0.0,-27.7244,3.544133024005532,[-1260.62793129],0.0233461,0.474070668803,0.726092533011979,-24.6343,-3.78054,300.0,0.467162,0.200887,58.4232257839667,0.215262,1.60532760647,-27.7244,-504.663441922,1.60532760647,0.0,11.1455,-7.78734,6000,-0.033278,0.474070668803,300,0.0973555,6000,-504.663441922,1.17869,300,-0.219443
23,-0.142887,0.0,-2.45329,1.36526079157,5.005519534999621,-428.387747321,13.0106,0.566648577653,6,0.0,0.0849764,13.0595,[-883.76469971],-0.180078,-0.0751065,0.0,-33.5409,3.497879854004168,[-1430.75949379],0.0250496,0.566648577653,0.7140010890007034,-30.9206,-3.82636,300.0,0.580917,0.39854,67.63490421697043,0.261594,1.36526079157,-33.5409,-428.387747321,1.36526079157,0.0,13.0106,-7.6876,7000,-0.012673,0.566648577653,300,0.123017,7000,-428.387747321,1.15181,300,-0.209117
26,-0.135644,0.0,-2.31122,1.67179567239,5.004012141999738,-521.546260995,12.7902,0.448734532382,7,0.0,0.0821862,13.1664,[-883.76469971],-0.206118,-0.0823695,0.0,-41.7708,3.951093952005067,[-1402.24429701],0.0177664,0.448734532382,0.812481407998348,-39.3354,-3.86522,300.0,0.525328,0.392252,77.40062810697418,0.452598,1.67179567239,-41.7708,-521.546260995,1.67179567239,0.0,12.7902,-10.0185,8000,-0.021545,0.448734532382,300,0.0863611,8000,-521.546260995,1.33361,300,-0.211933
30,-0.142422,0.0,-2.31032,0.129076885155,5.000524319999386,-91.1074570412,18.2132,1.55235202841,8,0.0,0.0754836,18.5227,[-883.76469971],-0.187493,-0.0717213,0.0,-45.0176,4.085475735002547,[-1241.47695318],0.0163827,1.55235202841,0.861909899008424,-42.7533,-3.67282,300.0,0.872146,1.01924,87.34932813798241,0.931644,0.129076885155,-45.0176,-91.1074570412,0.129076885155,0.0,18.2132,-7.85719,9000,-0.0106305,1.55235202841,300,0.126605,9000,-91.1074570412,1.13081,300,-0.195144
33,-0.134067,0.0,-2.4483,1.68823474801,5.006092148999414,-532.243736696,22.928,0.936964951741,9,0.0,0.0781767,23.5964,[-883.76469971],-0.208376,-0.0553367,0.0,-53.0065,4.225926791999882,[-1210.71377851],0.0192022,0.936964951741,0.8720629090103102,-51.2093,-3.87567,300.0,0.712942,0.970807,97.48376245499094,1.11757,1.68823474801,-53.0065,-532.243736696,1.68823474801,0.0,22.928,-12.242,10000,-0.0228568,0.936964951741,300,0.121822,10000,-532.243736696,1.38699,300,-0.210879
