episode-length-avg,qf1-std,return-max,return-min,StdProgress,episode-length-min,log-sigs-std,MaxProgress,log-sigs-mean,qf2-std,log-sigs-min,log-pi-mean,log-pi-min,episode-length-std,episodes,last-path-return,mean-sq-bellman-error1,policy-mus-mean,vf-avg,policy-mus-std,total-samples,time-train,time-total,mean-sq-bellman-error2,return-std,pool-size,AverageProgress,return-average,mean-qf-diff,epoch,episode-length-max,policy-mus-max,time-sample,max-path-return,log-pi-std,log-sigs-max,MinProgress,qf1-avg,time-eval,policy-mus-min,qf2-avg,vf-std,log-pi-max
1000.0,0.29051,35.7260767968,35.7260767968,0.0,1000,0.381459,0.192629440091,-0.105034,0.29051,-1.92014,-10.3296,-16.8356,0.0,2,25.38341940618347,3.24976,-0.271388,-0.00462362,0.491866,1000,0.06749312399188057,18.31358927997644,3.57011,0.0,1000,0.192629440091,35.7260767968,0.411419,0,1000,1.44487,0.732549313979689,25.38341940618347,2.26178,1.95089,0.192629440091,0.00791416,0,-2.05258,0.00791416,0.305498,-5.17635
1000.0,10.5862,122.070344686,122.070344686,0.0,1000,0.0685026,1.56313368362,-0.159041,10.5862,-0.443721,-9.82679,-17.9493,0.0,4,-29.061916954454198,0.252208,0.106039,21.9202,0.20692,2000,8.25062980351504,44.41998806135962,0.279755,0.0,2000,1.56313368362,122.070344686,0.392194,1,1000,1.17184,1.0676775008323602,115.67779169536504,1.82943,0.0732928,1.56313368362,17.2565,0,-0.527682,17.2565,10.5003,-6.73026
85.0,19.3319,45.2064452337,45.2064452337,0.0,85,0.0894361,0.992611296431,-0.200219,19.3319,-0.581997,-9.83078,-18.1493,0.0,6,54.02399352313462,1.23565,0.176879,51.376,0.499701,3000,8.523745831131237,55.44591012343881,1.16548,0.0,3000,0.992611296431,45.2064452337,0.76609,2,85,1.52973,1.085605837899493,115.67779169536504,2.04523,0.0996867,0.992611296431,45.537,16.79375287500443,-1.36988,45.537,19.2075,-6.3276
1000.0,29.3399,92.4321917399,92.4321917399,0.0,1000,0.111013,2.80477109559,-0.262836,29.3399,-0.760218,-9.25488,-16.8065,0.0,7,98.13336121446255,1.92429,0.0977872,74.5242,0.723276,4000,10.951820697984658,84.35321745357942,1.97468,0.0,4000,2.80477109559,92.4321917399,1.23461,3,1000,1.75488,1.230301649105968,115.67779169536504,2.01794,0.0883808,2.80477109559,67.4061,1.4144918050151318,-1.99337,67.4061,28.9868,-5.25828
1000.0,39.5662,179.371168851,179.371168851,0.0,1000,0.117097,3.87450066342,-0.311845,39.5662,-0.753585,-8.78803,-15.533,0.0,9,90.17277878319045,6.34986,0.155057,109.371,0.847072,5000,11.623665419901954,113.90749951230828,6.3281,0.0,5000,3.87450066342,179.371168851,1.80298,4,1000,2.22073,1.2567780288518406,115.67779169536504,1.76108,0.0907604,3.87450066342,101.605,16.72460335798678,-2.12317,101.605,38.9944,-4.86669
65.0,39.3416,53.9994468327,53.9994468327,0.0,65,0.114348,1.12429330637,-0.339072,39.3416,-0.75681,-8.65594,-15.3051,0.0,10,171.95564842200605,6.96776,0.161322,153.553,0.934492,6000,11.894155090936692,128.2280550057767,8.52508,0.0,6000,1.12429330637,53.9994468327,2.38018,5,65,2.57655,1.3404306765587535,171.95564842200605,1.80707,0.136469,1.12429330637,143.935,16.671956568025053,-2.20232,143.935,38.6502,-5.23447
1000.0,47.0404,103.380598918,103.380598918,0.0,1000,0.118537,1.55564160376,-0.377219,47.0404,-0.846599,-8.40419,-17.153,0.0,12,28.676179157931173,17.5202,0.369611,206.612,0.982727,7000,8.933664632029831,154.93335408339044,15.6316,0.0,7000,1.55564160376,103.380598918,3.32262,6,1000,2.57005,1.1012212885543704,171.95564842200605,2.06387,-0.0396561,1.55564160376,195.646,1.0949061790015548,-2.51237,195.646,46.6378,-4.17329
113.0,51.2372,71.8965834915,71.8965834915,0.0,113,0.115381,1.39373548486,-0.396883,51.2372,-0.754545,-8.10674,-17.4126,0.0,13,-19.30109831738142,21.8709,0.320456,254.265,1.00205,8000,9.630819345940836,167.60751981681096,22.917,0.0,8000,1.39373548486,71.8965834915,4.43602,7,113,2.86526,1.1436472374480218,171.95564842200605,2.24335,-0.0270961,1.39373548486,241.104,16.673806175007485,-2.56746,241.104,50.9846,-4.15423
1000.0,52.5373,107.081791629,107.081791629,0.0,1000,0.109497,2.51555223802,-0.40972,52.5373,-0.745547,-7.92083,-15.0126,0.0,16,-37.259550580811194,29.6205,0.182522,295.987,1.0981,9000,8.822933186340379,194.18155415324145,25.3387,0.0,9000,2.51555223802,107.081791629,5.11309,8,1000,3.3217,1.0798717050929554,171.95564842200605,2.06305,-0.0470592,2.51555223802,283.304,1.891597478010226,-2.92164,283.304,50.3562,-3.91669
1000.0,60.7872,227.984515106,227.984515106,0.0,1000,0.10364,5.00828969821,-0.449349,60.7872,-0.782474,-7.78645,-16.8765,0.0,17,-53.33742914340128,32.3166,0.073944,332.339,1.16403,10000,11.43047657396528,223.57068773396895,38.5708,0.0,10000,5.00828969821,227.984515106,5.83798,9,1000,3.1295,1.2814479477819987,171.95564842200605,2.17167,-0.103822,5.00828969821,321.25,16.67205601898604,-3.28631,321.25,61.0737,-4.03437
