qf1-avg,vf-avg,qf1-std,time-total,StdProgress,qf2-avg,log-pi-std,episode-length-min,episode-length-avg,episode-length-max,time-eval,log-sigs-std,log-pi-mean,total-samples,return-std,mean-sq-bellman-error1,policy-mus-min,max-path-return,log-sigs-max,episodes,mean-qf-diff,time-train,last-path-return,log-sigs-min,epoch,log-sigs-mean,return-average,MinProgress,pool-size,policy-mus-mean,time-sample,log-pi-max,policy-mus-std,log-pi-min,AverageProgress,MaxProgress,mean-sq-bellman-error2,policy-mus-max,return-max,episode-length-std,return-min,vf-std,qf2-std
0.00791416,-0.004649,0.29051,18.436301224050112,0.0,0.00791416,2.2618,1000,1000.0,1000,0,0.381465,-10.3297,1000,0.0,3.24976,-2.05245,25.38341940618347,1.95101,2,0.411419,0.0648807410034351,25.38341940618347,-1.92004,0,-0.105018,35.281563546,0.202825229767,1000,-0.271368,0.7314399729948491,-5.17637,0.491864,-16.8357,0.202825229767,0.202825229767,3.57011,1.44491,35.281563546,0.0,35.281563546,0.305501,0.29051
17.2558,21.8971,10.5847,47.044628405885305,0.0,17.2558,1.82885,1000,1000.0,1000,0,0.068968,-9.82613,2000,0.0,0.254699,-0.558433,115.67779169536504,0.0582352,4,0.381104,10.644992789195385,-29.061916954454198,-0.451586,1,-0.159124,220.772893586,5.38876429423,2000,0.105491,1.2852246475522406,-6.81816,0.205764,-17.8979,5.38876429423,5.38876429423,0.275105,1.168,220.772893586,0.0,220.772893586,10.4993,10.5847
43.7546,49.5695,19.8592,59.78077135281637,0.0,43.7546,2.05359,82,82.0,82,16.679551074048504,0.0885169,-9.8374,3000,0.0,1.30017,-1.49949,115.67779169536504,0.0645692,6,0.781643,10.151721675181761,54.02399352313462,-0.553576,2,-0.199391,89.6466343587,1.70284849559,3000,0.174839,1.2191594516625628,-5.79255,0.507688,-18.3647,1.70284849559,1.70284849559,1.24796,1.76644,89.6466343587,0.0,89.6466343587,19.8695,19.8592
75.3544,82.6398,26.7031,85.8267753731925,0.0,75.3544,2.03436,861,861.0,861,1.3691093450179324,0.114009,-9.19538,4000,0.0,2.80893,-2.01342,263.2702368392323,0.100619,7,1.41717,10.374943298811559,263.2702368392323,-0.686972,3,-0.270273,351.538201481,6.43977444875,4000,0.0360894,1.3193405544152483,-5.3425,0.763396,-15.7312,6.43977444875,6.43977444875,3.03921,2.17071,351.538201481,0.0,351.538201481,25.5683,26.7031
109.372,118.374,35.0537,98.7355645581847,0.0,109.372,1.73295,131,131.0,131,14.359574260015506,0.117014,-9.05458,5000,0.0,5.26824,-2.03197,263.2702368392323,0.0456692,8,2.17886,9.545658262970392,48.89405379676548,-0.73286,4,-0.278527,120.269889918,2.34641061888,5000,-0.00641865,1.1579099961090833,-5.50431,0.88854,-15.3511,2.34641061888,2.34641061888,5.90713,2.15114,120.269889918,0.0,120.269889918,34.4028,35.0537
140.818,152.097,48.4424,109.87395232252311,0.0,140.818,1.87856,84,84.0,84,2.198481692990754,0.11503,-8.66189,6000,0.0,9.99284,-2.72626,263.2702368392323,0.0442819,9,2.72967,8.605350543337408,-175.17647008473486,-0.757026,5,-0.338329,60.9101974923,2.42268208685,6000,-0.00243018,1.1285344049683772,-5.34099,0.980631,-15.7689,2.42268208685,2.42268208685,8.95205,2.32385,60.9101974923,0.0,60.9101974923,47.2023,48.4424
189.196,200.926,52.2847,126.84030960593373,0.0,189.196,2.07053,125,125.0,125,1.4028587890206836,0.10986,-8.40563,7000,0.0,13.4719,-2.34271,263.2702368392323,0.00318145,10,3.28252,13.397440650733188,143.63207640390416,-0.847584,6,-0.377038,51.5810235881,1.30327770968,7000,0.132774,1.4839513447368518,-4.14493,1.04968,-17.0326,1.30327770968,1.30327770968,13.5828,2.85193,51.5810235881,0.0,51.5810235881,52.3964,52.2847
251.882,267.379,51.9753,153.54374812741298,0.0,251.882,2.21705,1000,1000.0,1000,2.0854953940142877,0.10538,-8.00549,8000,0.0,15.6323,-2.48994,263.2702368392323,-0.0728678,14,4.14631,8.88665641011903,27.685471467425288,-0.809488,7,-0.409539,187.434088733,3.24202031511,8000,0.0691064,1.139634938328527,-4.2926,1.14672,-16.236,3.24202031511,3.24202031511,14.6736,2.63463,187.434088733,0.0,187.434088733,52.6514,51.9753
317.643,335.039,64.8919,180.55344159144443,0.0,317.643,2.04809,1000,1000.0,1000,16.67768762499327,0.101326,-7.54351,9000,0.0,31.2621,-2.7875,263.2702368392323,-0.125654,15,5.05869,9.175502278318163,-18.85329490304798,-0.794581,8,-0.456886,86.0533356324,1.37696798603,9000,0.142675,1.1594637537491508,-3.51608,1.25795,-15.6398,1.37696798603,1.37696798603,36.8919,2.84029,86.0533356324,0.0,86.0533356324,66.2937,64.8919
395.082,417.669,75.1106,206.09240392711945,0.0,395.082,2.11982,1000,1000.0,1000,16.670222132001072,0.097007,-7.71212,10000,0.0,52.8643,-3.2352,263.2702368392323,-0.0780621,18,6.43973,7.806586516438983,-19.681746827246517,-0.75144,9,-0.45864,51.569493787,0.597837498193,10000,0.0149971,1.0584445111453533,-3.92512,1.24052,-16.4133,0.597837498193,0.597837498193,43.3829,2.97609,51.569493787,0.0,51.569493787,78.8302,75.1106
427.038,440.853,123.37,233.94512981147273,0.0,427.038,2.30335,1000,1000.0,1000,16.678418453026097,0.099401,-7.88376,11000,0.0,54.0363,-2.79106,263.2702368392323,-0.0911166,19,6.29436,9.368104885274079,139.51119209300853,-0.836669,10,-0.466401,246.327208571,4.39765944857,11000,0.0990996,1.8010803190409206,-4.00546,1.1509,-16.3309,4.39765944857,4.39765944857,45.3839,3.36512,246.327208571,0.0,246.327208571,125.62,123.37
437.004,450.998,138.626,262.9951685433043,0.0,437.004,2.01153,1000,1000.0,1000,16.685531296010595,0.103797,-7.32415,12000,0.0,143.564,-3.20622,263.2702368392323,-0.157479,20,7.17295,10.496813509904314,164.8157147749194,-0.882611,11,-0.493038,121.008512011,4.01514351146,12000,0.37354,1.8710282708634622,-3.06016,1.08106,-13.6646,4.01514351146,4.01514351146,128.15,3.71515,121.008512011,0.0,121.008512011,142.019,138.626
482.865,488.102,146.334,293.269066993671,0.0,482.865,2.07808,1000,1000.0,1000,16.68446270795539,0.110566,-7.11691,13000,0.0,44.4595,-3.03855,263.2702368392323,-0.171886,21,7.48769,11.401673579995986,246.09116426037582,-0.990246,12,-0.532217,108.035766428,5.5895502992,13000,0.270636,2.1970012304373085,-1.99861,1.02977,-13.4398,5.5895502992,5.5895502992,36.636,3.48197,108.035766428,0.0,108.035766428,145.977,146.334
484.235,489.234,146.529,323.55110390653135,0.0,484.235,1.86649,1000,1000.0,1000,16.67514711403055,0.119301,-6.70258,14000,0.0,54.3057,-3.36566,263.2702368392323,-0.20027,22,7.35466,11.611759243358392,243.01688055413564,-1.04921,13,-0.539767,376.219268991,9.63732629107,14000,0.12244,2.001507992448751,-1.65294,1.02587,-13.1818,9.63732629107,9.63732629107,49.0797,3.33109,376.219268991,0.0,376.219268991,147.77,146.529
