qf2-std,episodes,AverageForwardProgress,episode-length-avg,mean-sq-bellman-error2,episode-length-max,episode-length-min,return-min,return-average,MaxForwardProgress,qf2-avg,mean-sq-bellman-error1,pool-size,log-pi-max,policy-mus-min,last-path-return,StdForwardProgress,time-train,mean-qf-diff,vf-avg,qf1-std,log-pi-mean,qf1-avg,log-sigs-min,total-samples,policy-mus-mean,return-max,log-sigs-mean,log-sigs-max,log-sigs-std,time-total,time-sample,episode-length-std,log-pi-min,policy-mus-std,time-eval,vf-std,policy-mus-max,max-path-return,epoch,return-std,MinForwardProgress,log-pi-std
0.338782,1,-0.0493200340044,1000.0,0.485082,1000,1000,-5.93326795363,-5.93326795363,-0.0493200340044,-0.477445,0.52602,1000,-3.54335,-1.57836,-162.98584915,0.0,0.1159093070000381,0.373617,0.0420574,0.338782,-7.95349,-0.477445,-1.2661,1000,-0.107286,-5.93326795363,-0.0900872,1.21704,0.306766,18.150216439998985,0.5968415569986973,0.0,-15.8659,0.366573,0,0.321339,0.970269,-162.98584915,0,0.0,-0.0493200340044,1.82897
2.44037,2,-0.163444494638,1000.0,0.0428449,1000,1000,-19.8161575951,-19.8161575951,-0.163444494638,9.71379,0.0424518,2000,-5.0859,-0.428595,-225.342884603,0.0,6.840122014968074,0.190156,13.9564,2.44037,-7.68822,9.71379,-0.350937,2000,0.10351,-19.8161575951,-0.139571,0.0396478,0.053628,42.35160223197636,0.6864304240043566,0.0,-15.2123,0.160183,0,2.33704,0.562484,-162.98584915,1,0.0,-0.163444494638,1.71977
5.42576,3,-0.129828209953,1000.0,0.139412,1000,1000,-29.1844176857,-29.1844176857,-0.129828209953,24.3507,0.140006,3000,-4.58439,-0.529061,-153.025178445,0.0,8.740362644977722,0.306739,28.653,5.42576,-7.46958,24.3507,-0.424446,3000,0.206938,-29.1844176857,-0.171238,0.0732117,0.0656514,68.61728567597311,0.8386939370193431,0.0,-14.2978,0.26651,16.693494086999635,5.28505,1.02303,-153.025178445,2,0.0,-0.129828209953,1.60921
8.1591,4,-0.563911965492,1000.0,0.305841,1000,1000,-99.5332624354,-99.5332624354,-0.563911965492,39.1144,0.292756,4000,-4.48755,-0.726235,-238.229862263,0.0,8.97559959902901,0.481259,42.9692,8.1591,-7.32969,39.1144,-0.484038,4000,0.239596,-99.5332624354,-0.197617,0.003429,0.0706902,95.12763434600492,0.8594345680066908,0.0,-13.8468,0.303502,16.673032037999292,8.18391,1.26534,-153.025178445,3,0.0,-0.563911965492,1.7771
10.9491,5,-1.43230062408,1000.0,0.647462,1000,1000,-212.629840633,-212.629840633,-1.43230062408,52.1108,0.551992,5000,-4.76047,-1.39549,-190.930008093,0.0,7.991098659009367,0.606518,56.8866,10.9491,-7.32958,52.1108,-0.546531,5000,0.270509,-212.629840633,-0.206018,0.0586377,0.0836992,120.54630462302157,0.7602817530096218,0.0,-14.2638,0.360025,16.676125449999745,10.6982,1.46218,-153.025178445,4,0.0,-1.43230062408,1.7834
12.9492,6,-4.47674721819,1000.0,1.03753,1000,1000,-571.46136286,-571.46136286,-4.47674721819,67.2274,1.04272,6000,-4.1427,-1.20759,-186.554480215,0.0,8.971828122010265,0.795704,71.8107,12.9492,-7.21494,67.2274,-0.628488,6000,0.297519,-571.46136286,-0.220976,0.131763,0.102922,147.05772300702483,0.8712591129915381,0.0,-16.2347,0.423274,16.665875078999306,12.412,1.61652,-153.025178445,5,0.0,-4.47674721819,1.77533
13.8397,7,-2.83056171479,1000.0,1.20504,1000,1000,-468.309455924,-468.309455924,-2.83056171479,86.0455,1.15316,7000,-4.20423,-1.46775,-224.922908587,0.0,8.882491751010093,0.95501,91.5021,13.8397,-7.1945,86.0455,-0.650287,7000,0.223406,-468.309455924,-0.253162,-0.00834162,0.092307,173.46681423201517,0.8565632109784929,0.0,-15.9694,0.505065,16.674640246999843,13.9263,2.01854,-153.025178445,6,0.0,-2.83056171479,1.96459
16.6268,8,-2.01920447189,1000.0,1.53536,1000,1000,-429.2892841,-429.2892841,-2.01920447189,100.812,1.38595,8000,-3.64261,-1.89628,-272.942830551,0.0,8.735858551017373,1.14711,106.051,16.6268,-6.87615,100.812,-0.672006,8000,0.178339,-429.2892841,-0.28149,0.0110488,0.101873,199.7179346510693,0.8369839850365679,0.0,-18.4175,0.640489,16.66801900700011,16.6584,2.00777,-153.025178445,7,0.0,-2.01920447189,1.91915
18.1089,9,2.35004417233,1000.0,2.50156,1000,1000,-23.6025191673,-23.6025191673,2.35004417233,122.017,2.62518,9000,-3.63998,-2.84097,-167.604870899,0.0,7.508124034011416,1.32311,129.385,18.1089,-6.81723,122.017,-0.759142,9000,-0.274129,-23.6025191673,-0.316523,0.0103215,0.105354,224.64675525614075,0.7269248560587585,0.0,-19.3827,0.830807,16.679355037000278,18.385,1.83633,-153.025178445,8,0.0,2.35004417233,2.02033
26.7465,10,2.71356358356,1000.0,9.9207,1000,1000,59.3034104191,59.3034104191,2.71356358356,175.931,8.82404,10000,-2.96046,-2.41027,-212.466511814,0.0,8.21357238503515,1.80612,195.184,26.7465,-6.11656,175.931,-0.746917,10000,-0.349171,59.3034104191,-0.384098,0.0698734,0.149277,250.33439148217258,0.7976319569952466,0.0,-15.6466,1.16373,16.695047912999144,28.4666,3.84225,-153.025178445,9,0.0,2.71356358356,1.77635
