pool-size,total-samples,return-average,AverageForwardProgress,MeanDistfromGoal,episode-length-min,epoch,qf1-std,mean-sq-bellman-error2,mean-qf-diff,qf1-avg,time-train,return-std,episodes,vf-std,last-path-return,MaxForwardProgress,qf2-std,time-eval,vf-avg,StdForwardProgress,episode-length-std,mean-sq-bellman-error1,qf2-avg,MinForwardProgress,time-sample,max-path-return,episode-length-avg,return-min,episode-length-max,time-total,return-max
1000,1000,-5630.05955243,-0.172226069541,9.54153593192,1000,0,0.350745,348.129,0.832768,0.164736,0.24787261011078954,0.0,1,0.681979,-5125.32424204,-0.172226069541,0.350745,0,0.589408,0.0,0.0,366.227,0.164736,-0.172226069541,7.553363063139841,-5125.32424204,1000.0,-5630.05955243,1000,29.661397880176082,-5630.05955243
2000,2000,-5504.20994678,-0.185421569966,9.68726426639,1000,1,12.6965,7.32355,0.712134,-92.0259,27.290659655584022,0.0,2,12.3019,-5192.5636149,-0.185421569966,12.6965,0,-87.41,0.0,0.0,7.21636,-92.0259,-0.185421569966,4.9601269194390625,-5125.32424204,1000.0,-5504.20994678,1000,79.80776787735522,-5504.20994678
3000,3000,-5463.16573955,-0.174620791661,9.59275241638,1000,2,27.8305,9.47677,0.960026,-191.389,29.722500257892534,0.0,3,27.3257,-5278.81374541,-0.174620791661,27.8305,17.898707719985396,-187.777,0.0,0.0,9.93145,-191.389,-0.174620791661,6.065288346959278,-5125.32424204,1000.0,-5463.16573955,1000,133.30097575485706,-5463.16573955
4000,4000,-5307.48546083,-0.127753465468,9.66473270444,1000,3,41.5668,20.1276,1.50387,-290.076,27.713588343700394,0.0,4,42.0354,-5227.82651796,-0.127753465468,41.5668,17.703011174919084,-288.024,0.0,0.0,19.9904,-290.076,-0.127753465468,5.059133743867278,-5125.32424204,1000.0,-5307.48546083,1000,183.36000962858088,-5307.48546083
5000,5000,-4779.98503371,-0.226028760227,9.68942871965,1000,4,58.7434,20.8589,1.79503,-387.61,28.836112772347406,0.0,5,58.6064,-5432.78452491,-0.226028760227,58.7434,17.29531065095216,-386.409,0.0,0.0,22.0715,-387.61,-0.226028760227,5.687498056795448,-5125.32424204,1000.0,-4779.98503371,1000,234.60199014656246,-4779.98503371
6000,6000,-4497.91870445,-0.225825811524,8.76681614567,1000,5,74.1982,31.5813,1.98854,-485.752,26.729707571677864,0.0,6,73.8718,-5394.08296953,-0.225825811524,74.1982,16.71079761395231,-483.818,0.0,0.0,31.5331,-485.752,-0.225825811524,4.802801382029429,-5125.32424204,1000.0,-4497.91870445,1000,282.8061667170841,-4497.91870445
7000,7000,-4491.42936573,-0.170412576168,8.38039672674,1000,6,89.2466,48.5636,2.51002,-577.816,28.94416749337688,0.0,7,89.3668,-5408.87029207,-0.170412576168,89.2466,16.674359533004463,-577.358,0.0,0.0,50.4527,-577.816,-0.170412576168,5.490409197052941,-5125.32424204,1000.0,-4491.42936573,1000,333.98563359561376,-4491.42936573
8000,8000,-4749.68377754,-0.217162711467,9.62960793513,1000,7,96.6203,31.2571,2.40461,-674.816,28.03079413343221,0.0,8,95.936,-5101.0857392,-0.217162711467,96.6203,16.7457342450507,-676.614,0.0,0.0,30.9128,-674.816,-0.217162711467,5.098640075884759,-5101.0857392,1000.0,-4749.68377754,1000,383.78748252103105,-4749.68377754
9000,9000,-4937.57558886,-0.177227394466,9.67574418638,1000,8,113.03,56.9442,2.76883,-759.563,28.87459987681359,0.0,9,112.889,-5208.51524227,-0.177227394466,113.03,16.675383838824928,-759.763,0.0,0.0,55.2573,-759.563,-0.177227394466,5.581442364957184,-5101.0857392,1000.0,-4937.57558886,1000,434.98045916925184,-4937.57558886
10000,10000,-4922.12150691,-0.112945633473,9.66747350354,1000,9,122.697,46.6845,2.79,-833.995,29.023624927503988,0.0,10,122.354,-5113.41421974,-0.112945633473,122.697,16.735540837980807,-833.792,0.0,0.0,47.9185,-833.995,-0.112945633473,5.389215002534911,-5101.0857392,1000.0,-4922.12150691,1000,486.06851090933196,-4922.12150691
11000,11000,-4880.19425555,-0.247732079607,9.65627679608,1000,10,123.666,69.1488,3.1262,-932.618,28.925921292975545,0.0,11,123.088,-5210.21340952,-0.247732079607,123.666,16.68050182214938,-933.615,0.0,0.0,67.3824,-932.618,-0.247732079607,5.385858827037737,-5101.0857392,1000.0,-4880.19425555,1000,537.158508159453,-4880.19425555
