FinalArmDistanceStd,return-min,time-eval,last-path-return,FinalGoalDistanceMax,FinalArmDistanceAvg,episode-length-min,time-sample,time-total,return-std,episode-length-avg,FinalGoalDistanceAvg,FinalGoalDistanceMin,qf2-avg,qf1-std,mean-sq-bellman-error2,pool-size,qf2-std,time-train,vf-avg,return-max,FinalArmDistanceMin,vf-std,max-path-return,mean-sq-bellman-error1,total-samples,episode-length-std,qf1-avg,mean-qf-diff,FinalArmDistanceMax,epoch,episodes,episode-length-max,FinalGoalDistanceStd,return-average
0.0,-1249.8597404,0,[-2544.41742502],0.806047917445,0.216308297513,1000,4.929828391992487,25.832323705777526,0.0,1000.0,0.806047917445,0.806047917445,0.169541,0.144467,90.4352,1000,0.144467,0.20286563492845744,0.345758,-1249.8597404,0.216308297513,0.165695,[-2544.41742502],88.055,1000,0.0,0.169541,0.220952,0.216308297513,0,1,1000,0.0,-1249.8597404
0.0,-1396.07027332,0,[-2516.60966279],1.12541682899,0.394329559752,1000,3.8579506824025884,74.31324182939716,0.0,1000.0,1.12541682899,1.12541682899,-36.0768,3.38202,0.139082,2000,3.38202,27.94412110641133,-29.5613,-1396.07027332,0.394329559752,2.09727,[-2516.60966279],0.191003,2000,0.0,-36.0768,0.445632,0.394329559752,1,2,1000,0.0,-1396.07027332
0.0,-1058.32302199,16.682982831960544,[-2669.96093397],0.28151777516,0.116521262927,1000,3.903169856988825,123.12459927750751,0.0,1000.0,0.28151777516,0.28151777516,-66.1653,5.06952,0.0811996,3000,5.06952,28.237626612186432,-60.0225,-1058.32302199,0.116521262927,4.52287,[-2516.60966279],0.0865069,3000,0.0,-66.1653,0.371316,0.116521262927,2,3,1000,0.0,-1058.32302199
0.0,-1071.92592997,16.67460273997858,[-2569.65505643],0.327109661504,0.164366434481,1000,3.973077649367042,173.0521517539164,0.0,1000.0,0.327109661504,0.327109661504,-95.5052,6.60797,0.111532,4000,6.60797,29.264414243167266,-89.4579,-1071.92592997,0.164366434481,6.5367,[-2516.60966279],0.132145,4000,0.0,-95.5052,0.386146,0.164366434481,3,4,1000,0.0,-1071.92592997
0.0,-1118.09809917,16.67915813997388,[-2671.38643303],1.13229972122,0.408084083937,1000,4.12204604386352,225.28234230843373,0.0,1000.0,1.13229972122,1.13229972122,-125.147,8.42247,0.112059,5000,8.42247,31.43816897063516,-119.06,-1118.09809917,0.408084083937,8.38153,[-2516.60966279],0.144297,5000,0.0,-125.147,0.377082,0.408084083937,4,5,1000,0.0,-1118.09809917
0.0,-1058.48740331,16.67430295899976,[-2761.43970223],0.602665642095,0.14879390835,1000,4.093625787645578,278.59208937874064,0.0,1000.0,0.602665642095,0.602665642095,-156.548,12.6846,0.162485,6000,12.6846,32.534453399595805,-150.568,-1058.48740331,0.14879390835,12.8605,[-2516.60966279],0.217423,6000,0.0,-156.548,0.427827,0.14879390835,5,6,1000,0.0,-1058.48740331
0.0,-2171.67173882,16.680528980097733,[-2547.03582286],1.91363117375,0.827733843954,1000,4.2432831703918055,334.1824931312585,0.0,1000.0,1.91363117375,1.91363117375,-182.987,14.6685,0.152535,7000,14.6685,34.65075200807769,-176.513,-2171.67173882,0.827733843954,14.7045,[-2516.60966279],0.188551,7000,0.0,-182.987,0.442014,0.827733843954,6,7,1000,0.0,-2171.67173882
0.0,-966.798948,16.70161674998235,[-2760.84759395],0.508769972301,0.155874080006,1000,4.497805994236842,391.71788290771656,0.0,1000.0,0.508769972301,0.508769972301,-211.756,22.8066,0.182221,8000,22.8066,36.34334041306283,-205.894,-966.798948,0.155874080006,23.2406,[-2516.60966279],0.193788,8000,0.0,-211.756,0.461276,0.155874080006,7,8,1000,0.0,-966.798948
0.0,-1042.25296,16.69262126996182,[-2760.81309227],0.823467938453,0.396490505357,1000,4.146620948566124,444.89156867330894,0.0,1000.0,0.823467938453,0.823467938453,-238.213,25.7883,0.154605,9000,25.7883,32.35438698600046,-232.449,-1042.25296,0.396490505357,26.0002,[-2516.60966279],0.203176,9000,0.0,-238.213,0.465729,0.396490505357,8,9,1000,0.0,-1042.25296
0.0,-746.067265613,16.674204353941604,[-2928.8683636],0.198104591877,0.985617201431,1000,4.101654829224572,496.5353984745452,0.0,1000.0,0.198104591877,0.198104591877,-268.489,28.4134,0.226124,10000,28.4134,30.865657315123826,-262.3,-746.067265613,0.985617201431,28.5266,[-2516.60966279],0.217191,10000,0.0,-268.489,0.529761,0.985617201431,9,10,1000,0.0,-746.067265613
0.0,-1292.23699196,16.67799011291936,[-1148.13102071],0.933194429654,0.205372742448,1000,4.987673734431155,546.0970434666378,0.0,1000.0,0.933194429654,0.933194429654,-270.818,55.4678,0.206325,11000,55.4678,27.892536333878525,-265.339,-1292.23699196,0.205372742448,54.7905,[-1148.13102071],0.198826,11000,0.0,-270.818,0.439801,0.205372742448,10,11,1000,0.0,-1292.23699196
0.0,-1149.06054448,16.686417325981893,[-1241.71111964],0.806678909098,0.378947939784,1000,4.814503719331697,593.9929431221681,0.0,1000.0,0.806678909098,0.806678909098,-291.313,66.5214,0.182351,12000,66.5214,26.399082051357254,-285.833,-1149.06054448,0.378947939784,65.613,[-1148.13102071],0.228884,12000,0.0,-291.313,0.480439,0.378947939784,11,12,1000,0.0,-1149.06054448
0.0,-1078.58483211,16.692562318057753,[-1082.59892087],0.740432207813,0.267052573485,1000,4.8632516922662035,642.240304535022,0.0,1000.0,0.740432207813,0.740432207813,-302.442,80.155,0.313086,13000,80.155,26.68531839258503,-297.294,-1078.58483211,0.267052573485,79.2823,[-1082.59892087],0.313965,13000,0.0,-302.442,0.479901,0.267052573485,12,13,1000,0.0,-1078.58483211
0.0,-871.306618072,16.68749526795,[-1141.96341723],0.467819376715,0.578791901451,1000,5.308991829515435,694.0625720083481,0.0,1000.0,0.467819376715,0.467819376715,-300.035,98.8016,0.275727,14000,98.8016,29.828230476006866,-295.152,-871.306618072,0.578791901451,97.8382,[-1082.59892087],0.246705,14000,0.0,-300.035,0.502193,0.578791901451,13,14,1000,0.0,-871.306618072
0.0,-919.203679762,16.682706944993697,[-891.62309816],0.491562500597,0.112905101423,1000,5.6563750327331945,749.1017169951228,0.0,1000.0,0.491562500597,0.491562500597,-283.486,122.974,0.32752,15000,122.974,32.71111790789291,-278.782,-919.203679762,0.112905101423,121.908,[-891.62309816],0.355724,15000,0.0,-283.486,0.505664,0.112905101423,14,15,1000,0.0,-919.203679762
0.0,-867.174853692,16.674970221007243,[-1027.71217748],0.326596608342,0.265932797442,1000,5.739685113192536,805.8556209115777,0.0,1000.0,0.326596608342,0.326596608342,-287.091,133.112,0.333031,16000,133.112,34.078329453244805,-281.952,-867.174853692,0.265932797442,131.632,[-891.62309816],0.378394,16000,0.0,-287.091,0.605106,0.265932797442,15,16,1000,0.0,-867.174853692
0.0,-1141.10319363,16.931536624906585,[-935.77422423],1.29511214461,0.12615205208,1000,5.478110510739498,859.9613957403926,0.0,1000.0,1.29511214461,1.29511214461,-308.246,138.449,0.314441,17000,138.449,31.412449884111993,-302.707,-1141.10319363,0.12615205208,136.803,[-891.62309816],0.442055,17000,0.0,-308.246,0.627612,0.12615205208,16,17,1000,0.0,-1141.10319363
0.0,-969.077689676,17.221954190987162,[-834.81926268],0.907112298181,0.159872057155,1000,5.065907622687519,910.0742476540618,0.0,1000.0,0.907112298181,0.907112298181,-308.317,157.278,0.433692,18000,157.278,28.244876807904802,-303.146,-969.077689676,0.159872057155,155.462,[-834.81926268],0.516931,18000,0.0,-308.317,0.70861,0.159872057155,17,18,1000,0.0,-969.077689676
0.0,-996.799382262,16.803873309050687,[-993.24208217],1.25180518132,0.411719050589,1000,4.748433156637475,957.1194633039413,0.0,1000.0,1.25180518132,1.25180518132,-283.549,161.779,0.317075,19000,161.779,25.57550180819817,-278.914,-996.799382262,0.411719050589,160.062,[-834.81926268],0.395658,19000,0.0,-283.549,0.69655,0.411719050589,18,19,1000,0.0,-996.799382262
0.0,-1274.49865662,16.717031720094383,[-428.76319845],1.38604937183,0.243185416491,1000,4.593028641305864,1002.594252940733,0.0,1000.0,1.38604937183,1.38604937183,-270.999,169.679,0.342969,20000,169.679,24.215638493420556,-266.282,-1274.49865662,0.243185416491,168.234,[-428.76319845],0.419527,20000,0.0,-270.999,0.704741,0.243185416491,19,20,1000,0.0,-1274.49865662
0.0,-1108.00906907,16.667508146958426,[-1114.50414571],0.884331305122,0.271697693938,1000,4.720646202331409,1048.5749672573293,0.0,1000.0,0.884331305122,0.884331305122,-285.59,184.661,0.454182,21000,184.661,24.38189996825531,-280.439,-1108.00906907,0.271697693938,182.812,[-428.76319845],0.547314,21000,0.0,-285.59,0.806844,0.271697693938,20,21,1000,0.0,-1108.00906907
0.0,-931.190463267,16.87868569290731,[-1108.25358895],0.751249125866,0.249686570054,1000,4.719346402212977,1096.070826358511,0.0,1000.0,0.751249125866,0.751249125866,-282.472,185.636,0.529491,22000,185.636,25.781057032872923,-277.861,-931.190463267,0.249686570054,184.115,[-428.76319845],0.522441,22000,0.0,-282.472,0.746392,0.249686570054,21,22,1000,0.0,-931.190463267
0.0,-1186.60181505,17.01043437595945,[-1158.79413046],1.09871675515,0.431308527715,1000,5.3690005872631446,1148.5657145541627,0.0,1000.0,1.09871675515,1.09871675515,-302.153,187.155,0.404053,23000,187.155,30.381832183455117,-297.668,-1186.60181505,0.431308527715,185.454,[-428.76319845],0.571559,23000,0.0,-302.153,0.806498,0.431308527715,22,23,1000,0.0,-1186.60181505
0.0,-1165.27542319,16.739264657953754,[-2224.47583394],1.16124466694,0.130938420346,1000,5.349156162934378,1201.79303192941,0.0,1000.0,1.16124466694,1.16124466694,-290.214,195.657,0.643707,24000,195.657,31.12867498106789,-286.153,-1165.27542319,0.130938420346,194.07,[-428.76319845],0.636517,24000,0.0,-290.214,0.780868,0.130938420346,23,24,1000,0.0,-1165.27542319
0.0,-916.899356963,16.753408601041883,[-1163.2070625],0.815921843916,0.17967426021,1000,5.311627010116354,1253.0980872168439,0.0,1000.0,0.815921843916,0.815921843916,-311.478,197.761,0.646897,25000,197.761,29.310079021495767,-306.937,-916.899356963,0.17967426021,196.387,[-428.76319845],0.704471,25000,0.0,-311.478,0.823997,0.17967426021,24,25,1000,0.0,-916.899356963
0.0,-830.785125712,16.682673495961353,[-1059.08489689],0.702768854432,0.118514894143,1000,5.293392417486757,1305.054400793626,0.0,1000.0,0.702768854432,0.702768854432,-319.055,204.756,0.78255,26000,204.756,29.973410700215027,-315.747,-830.785125712,0.118514894143,203.769,[-428.76319845],0.868453,26000,0.0,-319.055,0.869967,0.118514894143,25,26,1000,0.0,-830.785125712
0.0,-902.08044697,16.696335243061185,[-904.89324551],0.625878213892,0.69258186879,1000,5.4043148283381015,1357.712079960038,0.0,1000.0,0.625878213892,0.625878213892,-287.396,201.257,0.791429,27000,201.257,30.53502375399694,-283.408,-902.08044697,0.69258186879,199.894,[-428.76319845],0.753704,27000,0.0,-287.396,0.889534,0.69258186879,26,27,1000,0.0,-902.08044697
0.0,-869.543593428,16.702406041906215,[-903.55015411],0.578949113309,0.29806873942,1000,5.50181421241723,1411.7375378070865,0.0,1000.0,0.578949113309,0.578949113309,-292.197,205.849,0.538864,28000,205.849,31.768562957644463,-287.906,-869.543593428,0.29806873942,204.927,[-428.76319845],0.614161,28000,0.0,-292.197,0.815108,0.29806873942,27,28,1000,0.0,-869.543593428
0.0,-874.842880375,16.763368724961765,[-868.88775641],0.535793923935,0.298160767074,1000,5.895955185522325,1469.0462708238047,0.0,1000.0,0.535793923935,0.535793923935,-292.772,204.344,0.691296,29000,204.344,34.613356678397395,-288.485,-874.842880375,0.298160767074,202.856,[-428.76319845],0.709432,29000,0.0,-292.772,0.815906,0.298160767074,28,29,1000,0.0,-874.842880375
0.0,-822.561153141,16.80077407998033,[-554.96091063],0.428900146109,0.534033859766,1000,5.857365310774185,1526.5112113571959,0.0,1000.0,0.428900146109,0.428900146109,-269.515,213.15,0.667805,30000,213.15,34.90733411163092,-265.887,-822.561153141,0.534033859766,212.021,[-428.76319845],0.686604,30000,0.0,-269.515,0.829193,0.534033859766,29,30,1000,0.0,-822.561153141
0.0,-827.499103827,16.699852510006167,[-807.69472828],0.490074980183,0.411025283588,1000,5.50452931097243,1580.6345803746954,0.0,1000.0,0.490074980183,0.490074980183,-285.609,223.48,0.949038,31000,223.48,31.870150464586914,-281.062,-827.499103827,0.411025283588,221.558,[-428.76319845],0.97343,31000,0.0,-285.609,0.96171,0.411025283588,30,31,1000,0.0,-827.499103827
0.0,-749.485415444,16.74667080899235,[-753.77159599],0.342155185026,0.231539389878,1000,5.114365293527953,1631.5856373881688,0.0,1000.0,0.342155185026,0.342155185026,-277.793,213.092,0.829683,32000,213.092,28.88106924004387,-271.948,-749.485415444,0.231539389878,211.83,[-428.76319845],0.879203,32000,0.0,-277.793,0.90421,0.231539389878,31,32,1000,0.0,-749.485415444
0.0,-734.258998148,16.958038529963233,[-418.24674983],0.336562585748,0.198191114849,1000,4.702531179878861,1678.6597307758639,0.0,1000.0,0.336562585748,0.336562585748,-290.25,228.924,0.930188,33000,228.924,25.487490631756373,-285.677,-734.258998148,0.198191114849,227.324,[-418.24674983],0.958007,33000,0.0,-290.25,0.983172,0.198191114849,32,33,1000,0.0,-734.258998148
0.0,-740.743090786,16.89618638495449,[-618.08800548],0.467797349139,0.548178075067,1000,5.279019738198258,1730.800920506008,0.0,1000.0,0.467797349139,0.467797349139,-283.309,229.873,1.13387,34000,229.873,29.63930306583643,-279.344,-740.743090786,0.548178075067,228.377,[-418.24674983],1.48128,34000,0.0,-283.309,0.977423,0.548178075067,33,34,1000,0.0,-740.743090786
0.0,-705.327817254,17.214822822948918,[-427.94016853],0.414074234429,0.376713173562,1000,4.751201266655698,1779.229954400449,0.0,1000.0,0.414074234429,0.414074234429,-278.635,238.102,1.05467,35000,238.102,26.695492549799383,-274.148,-705.327817254,0.376713173562,236.29,[-418.24674983],1.10567,35000,0.0,-278.635,1.00758,0.376713173562,34,35,1000,0.0,-705.327817254
0.0,-687.443637289,16.981812017038465,[-660.04437081],0.262150317575,0.229152467167,1000,5.407653047237545,1833.4710333537078,0.0,1000.0,0.262150317575,0.262150317575,-259.786,236.611,0.983067,36000,236.611,31.598451804253273,-255.19,-687.443637289,0.229152467167,235.241,[-418.24674983],0.966846,36000,0.0,-259.786,1.02905,0.229152467167,35,36,1000,0.0,-687.443637289
0.0,-2394.58445446,17.235914904042147,[-730.13278823],1.95834605464,1.24872158574,1000,5.407399139017798,1888.045254405588,0.0,1000.0,1.95834605464,1.95834605464,-242.689,230.251,1.00858,37000,230.251,31.388312999741174,-238.574,-2394.58445446,1.24872158574,228.758,[-418.24674983],1.25966,37000,0.0,-242.689,1.06418,1.24872158574,36,37,1000,0.0,-2394.58445446
0.0,-708.487001392,17.777408041991293,[-643.62453898],0.197564585563,0.397515111701,1000,5.6785619468428195,1944.003035383881,0.0,1000.0,0.197564585563,0.197564585563,-229.249,227.982,0.688544,38000,227.982,33.35871891840361,-225.424,-708.487001392,0.397515111701,226.336,[-418.24674983],0.983513,38000,0.0,-229.249,1.00501,0.397515111701,37,38,1000,0.0,-708.487001392
0.0,-683.689946875,16.93312717601657,[-449.9995928],0.340291796131,0.187473264034,1000,5.72801257960964,2001.4294258728623,0.0,1000.0,0.340291796131,0.340291796131,-262.854,240.711,0.923137,39000,240.711,34.702592043206096,-258.358,-683.689946875,0.187473264034,238.904,[-418.24674983],0.964432,39000,0.0,-262.854,0.976294,0.187473264034,38,39,1000,0.0,-683.689946875
0.0,-700.76983113,17.00237105297856,[-633.69105229],0.284868944376,0.146829567242,1000,4.814210676937364,2049.6881939279847,0.0,1000.0,0.284868944376,0.284868944376,-222.701,227.578,1.06073,40000,227.578,26.54730095306877,-218.798,-700.76983113,0.146829567242,225.135,[-418.24674983],1.27476,40000,0.0,-222.701,1.07835,0.146829567242,39,40,1000,0.0,-700.76983113
0.0,-611.738089537,16.882073009968735,[-646.56922335],0.17530776408,0.227211910244,1000,5.110274051432498,2100.794937099563,0.0,1000.0,0.17530776408,0.17530776408,-229.086,244.514,1.24336,41000,244.514,29.06419986009132,-225.021,-611.738089537,0.227211910244,243.015,[-418.24674983],1.06544,41000,0.0,-229.086,1.11716,0.227211910244,40,41,1000,0.0,-611.738089537
0.0,-694.407579113,16.933414213941433,[-652.27296007],0.278175925778,0.353884838281,1000,5.6052647738251835,2155.9170180679066,0.0,1000.0,0.278175925778,0.278175925778,-217.842,233.011,1.12124,42000,233.011,32.449688899563625,-214.66,-694.407579113,0.353884838281,231.53,[-418.24674983],1.41519,42000,0.0,-217.842,1.06756,0.353884838281,41,42,1000,0.0,-694.407579113
0.0,-685.892183921,17.070284547051415,[-680.2288437],0.240239440485,0.330486299281,1000,5.686315257684328,2212.0759827792645,0.0,1000.0,0.240239440485,0.240239440485,-243.197,256.354,0.842165,43000,256.354,33.79093764571007,-238.292,-685.892183921,0.330486299281,254.227,[-418.24674983],0.818106,43000,0.0,-243.197,1.00588,0.330486299281,42,43,1000,0.0,-685.892183921
0.0,-667.447387197,16.68067800195422,[-594.18279986],0.206084742291,0.333117505695,1000,5.593702619778924,2267.6657931285445,0.0,1000.0,0.206084742291,0.206084742291,-208.332,236.008,1.13132,44000,236.008,33.31497921037953,-203.968,-667.447387197,0.333117505695,234.515,[-418.24674983],1.38361,44000,0.0,-208.332,1.10693,0.333117505695,43,44,1000,0.0,-667.447387197
0.0,-646.735857601,16.68862531101331,[-696.66944534],0.136456199464,0.412052818595,1000,5.316125619225204,2320.8486488051713,0.0,1000.0,0.136456199464,0.136456199464,-224.261,251.889,1.52949,45000,251.889,31.175262840348296,-220.272,-646.735857601,0.412052818595,250.572,[-418.24674983],1.36807,45000,0.0,-224.261,1.07223,0.412052818595,44,45,1000,0.0,-646.735857601
0.0,-629.434737822,16.688717492041178,[-728.19261952],0.17125175737,0.446339209295,1000,5.656452483963221,2376.478053171537,0.0,1000.0,0.17125175737,0.17125175737,-187.635,227.553,2.08652,46000,227.553,33.30219338811003,-185.607,-629.434737822,0.446339209295,225.239,[-418.24674983],1.96188,46000,0.0,-187.635,1.21239,0.446339209295,45,46,1000,0.0,-629.434737822
0.0,-708.68049474,16.67178298300132,[-670.22339001],0.227237457286,0.234638569667,1000,5.6069000898860395,2431.686442754697,0.0,1000.0,0.227237457286,0.227237457286,-223.721,247.596,1.2687,47000,247.596,32.929977343417704,-219.115,-708.68049474,0.234638569667,246.042,[-418.24674983],1.07283,47000,0.0,-223.721,1.04991,0.234638569667,46,47,1000,0.0,-708.68049474
